Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
-0.089552239,0.547987616,0.5,0.482248521,-0.013157895,0.336419753,0.284313725,0.565217391,0.331896552,-0.07960199,1,0.421875,0.675324675,-0.04519774,0.285714286,0.481481481,0.551438849,0.608391608,-0.112994351,0.174603175,-0.302520981,-0.267937237,0.033416875,0.067264574,-0.267737385,-0.432998819,0.365853659,0.179292929,0.66,-0.11
0.006578947,0.11965812,0.5,0.139784946,0.147887324,0.825925926,-0.538461538,-0.03125,1,0.40625,0.714285714,0.527777778,1,-0.010526316,-0.309859155,0.278969957,0.315789474,0.346153846,0.058823529,0,-0.596899243,-1,0.222222222,0.142857143,-1,-1,0.12,0.392045455,0,-0.14
0.495440729,0.080717489,0.296296296,0.216374269,0.487804878,0.387912088,-0.41,-0.301886792,0.574380165,0.31292517,0.313432836,0.641666667,0.164021164,-0.17704918,0.567901235,-0.105527638,-0.049079755,-0.038095238,-0.21875,0,-0.81541222,-0.955299679,-0.379577102,-0.571428572,-0.153198653,-0.561728394,-0.508296576,-0.666397742,-0.25,-0.55
0.04,0.434343434,0.068965517,0.451612903,0.23943662,0.68707483,0.038461538,0.5625,0.604395604,0.731707317,-0.09375,0.16,1,0.706521739,0.322580645,0.718309859,0.51980198,0,0.089743589,-0.095238095,0,0.125,-0.254021563,-0.625,-0.511125238,-0.845564073,-0.011904762,-0.057544757,-0.104166667,-0.12
-0.132653061,-0.194174757,0.130434783,-0.149253731,0.3625,0.246666667,-0.14893617,0.366666667,0.379562044,0.065789474,-0.766666667,0.25,0.586206897,0.379310345,-0.307692308,-0.689922481,0.08411215,0.069767442,0,0,-0.25,-0.849462323,-0.61682243,-1,-0.354838709,-0.740740741,-0.2,-0.298245614,0,-0.38
0.343283582,1,0.156626506,0.541062802,-0.189189189,0.63507109,0.259259259,0.682926829,0.097701149,-0.223880597,0.166666667,0.117647059,-0.137931034,0.061538462,0.298245614,0.040229885,-1,-0.974358974,-0.052631579,-0.222222222,-0.124999953,-0.133333333,0.079301075,-0.552447552,0.995708155,0.481481481,0.125,-0.1,0.25,0.05
-0.891304348,-0.353488372,0.530612245,-0.077922078,0.795454545,0.780141844,0.421052632,0.214285714,0.271604938,0.341463415,-0.56,0.814814815,-0.7,-0.175824176,-0.274193548,0.464646465,-0.086419753,-0.2,-0.03125,0,-0.225563895,-0.132442847,-0.37037037,0.142857143,-0.098393575,-0.494949493,-0.030927835,-0.027327935,-0.375,-0.02
-0.231543624,-0.226969292,1,-0.089965398,0.19434629,0.08091706,-0.24137931,0.019151847,0.698757764,-0.185628743,0.804597701,0.436241611,0.585492228,0.051779935,0.456790123,0.062193126,-0.31884058,-0.28125,0,-0.120300749,-0.502564073,-0.612021835,-1,-1,0.393617022,-0.009146341,-0.364741641,-0.298600311,-0.238095238,-0.16
-0.330097087,0.119760479,0.10989011,0.475409836,-0.065934066,0.279693487,0.787878788,0.064516129,0.518518519,0.346938776,0,0.914285714,-0.2,0.090225564,-0.215686275,-0.366782007,-0.516129032,-1,-0.483870967,-0.514705883,-0.10545456,-0.113766178,-0.884739677,-0.063706564,0.818181818,-0.359550562,-0.033333333,-0.004587156,0,-0.2
-0.157009346,-0.264705882,0.346666667,0.155419223,0.242774566,0.087267525,1,-0.023292747,0.775834658,0.185950413,1,-0.170731707,0.156097561,0.104519774,-0.153284672,0.191056911,-0.004477004,-0.031145432,-0.2625,0,-0.415512857,-0.457127037,0,0,-0.157884796,-0.443294116,-0.039915966,-0.135377358,-0.055811808,-0.17
0.039497307,0.24435591,0.693877551,0.272900763,-0.024561404,0.451733833,0.162162162,-0.038834951,0.105263158,0.663101604,0.048951049,-0.158730159,1,0.267241379,-0.020618557,0.099078341,0.032520325,0.463235294,-0.188679245,-1,-0.895448647,-0.704767508,0.155864811,0.135658915,0.017964072,-0.078508955,-0.097710776,-0.307595731,-0.253164557,-0.37
-0.012048193,0.268292683,0.24137931,0.277777778,0.48,0.086419753,0.142857143,-0.214285714,0.024390244,0,-0.444444444,-0.75,0.285714286,-0.345794393,1,0.126984127,0.117647059,-0.142857143,-0.171428572,-0.25,-0.061728356,0.102453091,-0.372928177,-0.366666667,-0.152125279,-0.201449275,-0.058201058,0.395861449,0,-0.31
